6 位编码	患者表征	针灸治疗	中药选择	食疗方案
000000	无分叶、无棘刺、磨玻璃结节、边缘难分辨、有钙化、良性	主穴：肺俞、太渊、足三里、脾俞；配穴：气海、膏肓；补法，留针 25-30 分钟，每周 3 次	玉屏风散合二陈汤加减（黄芪、白术、防风、陈皮、半夏、茯苓、甘草）	黄芪山药粥（黄芪 30g + 山药 50g + 粳米 100g）、党参炖鸡（党参 30g + 鸡肉 250g），每日 1 剂交替
000001	无分叶、无棘刺、磨玻璃结节、边缘难分辨、有钙化、良恶性暂不确定	无临床意义	无	无
000002	无分叶、无棘刺、磨玻璃结节、边缘难分辨、有钙化、恶性	无临床意义	无	无
000010	无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、良性	主穴：肺俞、丰隆、阴陵泉、中脘；配穴：脾俞；平补平泻，留针 20 分钟，隔日 1 次	二陈汤合苓桂术甘汤加减（陈皮、半夏、茯苓、桂枝、白术、甘草、薏米）	薏米红豆汤（薏米 30g + 红豆 30g + 茯苓 15g）、陈皮茯苓粥（陈皮 10g + 茯苓 15g + 粳米 100g），每日 1 剂
000011	无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、阴陵泉；配穴：膻中；平补平泻，留针 20 分钟，每周 3 次	二陈汤合柴胡疏肝散加减（陈皮、半夏、茯苓、柴胡、香附、枳壳、白芍）	薏米红豆汤 + 玫瑰花茶（玫瑰花 3g 代茶饮）、冬瓜海带汤，每日 1 剂
000012	无分叶、无棘刺、磨玻璃结节、边缘难分辨、无钙化、恶性	无临床意义	无	无
000100	无分叶、无棘刺、磨玻璃结节、边缘可分辨、有钙化、良性	主穴：肺俞、足三里、太渊、膻中；配穴：关元；补法，留针 25 分钟，每周 3 次	玉屏风散合三子养亲汤加减（黄芪、白术、防风、苏子、白芥子、莱菔子）	山药百合粥（山药 50g + 百合 30g + 粳米 100g）、红枣银耳汤，每日 1 剂
000101	无分叶、无棘刺、磨玻璃结节、边缘可分辨、有钙化、良恶性暂不确定	无临床意义	无	无
000102	无分叶、无棘刺、磨玻璃结节、边缘可分辨、有钙化、恶性	无临床意义	无	无
000110	无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、良性	主穴：肺俞、丰隆、足三里、中脘；配穴：三阴交；平补平泻，留针 20 分钟，隔日 1 次	六君子汤合二陈汤加减（党参、白术、茯苓、陈皮、半夏、甘草、薏米）	陈皮山药粥、白萝卜排骨汤，每日 1 剂
000111	无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、血海；配穴：内关；平补平泻，留针 20 分钟，每周 3 次	二陈汤合桃红四物汤加减（陈皮、半夏、茯苓、桃仁、红花、当归、白芍）	薏米红豆汤 + 黑木耳红枣汤（黑木耳 15g + 红枣 10 枚），每日 1 剂
000112	无分叶、无棘刺、磨玻璃结节、边缘可分辨、无钙化、恶性	无临床意义	无	无
000200	无分叶、无棘刺、磨玻璃结节、边缘清晰、有钙化、良性	主穴：肺俞、太渊、足三里、关元；配穴：膏肓；补法，留针 30 分钟，每周 3 次	补中益气汤合玉屏风散加减（黄芪、党参、白术、陈皮、升麻、防风、甘草）	核桃山药粥（核桃 30g + 山药 50g + 粳米 100g）、桂圆红枣粥，每日 1 剂
000201	无分叶、无棘刺、磨玻璃结节、边缘清晰、有钙化、良恶性暂不确定	无临床意义	无	无
000202	无分叶、无棘刺、磨玻璃结节、边缘清晰、有钙化、恶性	无临床意义	无	无
000210	无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、良性	主穴：肺俞、脾俞、丰隆、足三里；配穴：气海；平补平泻，留针 25 分钟，每周 3 次	六君子汤加减（党参、白术、茯苓、陈皮、半夏、甘草、山药）	黄芪茯苓粥、鸡肉冬瓜汤，每日 1 剂
000211	无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、良恶性暂不确定	主穴：肺俞、丰隆、太冲、脾俞；配穴：膻中；平补平泻，留针 25 分钟，每周 3 次	六君子汤合柴胡疏肝散加减（党参、白术、茯苓、柴胡、香附、陈皮、半夏）	山药粥 + 陈皮菊花茶（陈皮 3g + 菊花 3g 代茶饮），每日 1 剂
000212	无分叶、无棘刺、磨玻璃结节、边缘清晰、无钙化、恶性	无临床意义	无	无
001000	无分叶、无棘刺、混合实性结节、边缘难分辨、有钙化、良性	主穴：肺俞、太渊、足三里、膈俞；配穴：膏肓；补法为主，膈俞平补平泻，留针 25 分钟，每周 3 次	玉屏风散合失笑散加减（黄芪、白术、防风、五灵脂、蒲黄、茯苓）	黄芪桃仁粥（黄芪 30g + 桃仁 10g + 粳米 100g）、党参炖排骨，每日 1 剂
001001	无分叶、无棘刺、混合实性结节、边缘难分辨、有钙化、良恶性暂不确定	无临床意义	无	无
